disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,severity_impact
Cyber Attack,Consumer Goods,1,North America,Large,1,2,16.5,959204.44,Alternative Supplier,1,3,40,0,33.0
Labor Strike,Consumer Goods,4,Asia-Pacific,Medium,0,2,20.9,155800.6,Combined Strategy,4,25,57,0,41.8
Cyber Attack,Consumer Goods,3,North America,Small,0,4,56.9,115738.85,Production Reroute,1,177,254,1,227.6
Natural Disaster,Pharmaceuticals,3,South America,Medium,1,3,39.7,32244958.42,Alternative Supplier,1,18,59,0,119.10000000000001
Geopolitical,Pharmaceuticals,2,Asia-Pacific,Small,0,2,39.9,629391.42,Alternative Supplier,3,13,37,0,79.8
Natural Disaster,Automotive,2,Asia-Pacific,Medium,1,3,25.5,696708.95,Alternative Supplier,1,5,51,0,76.5
Geopolitical,Automotive,2,Europe,Small,1,2,26.5,84823.21,Alternative Supplier,7,19,45,0,53.0
Factory Incident,Aerospace,2,Africa/Middle East,Small,0,1,9.7,343470.65,Alternative Supplier,10,9,53,0,9.7
Geopolitical,Electronics,1,Asia-Pacific,Small,0,3,46.5,429355.77,Inventory Buffer,1,12,48,0,139.5
Port Congestion,Automotive,1,South America,Small,0,1,18.7,159265.35,Customer Delay,7,15,58,0,18.7
Factory Incident,Automotive,1,Asia-Pacific,Small,0,3,55.1,738733.16,Production Reroute,9,34,62,1,165.3
Geopolitical,Consumer Goods,3,Europe,Small,1,3,23.6,62537.18,Alternative Supplier,1,21,118,0,70.80000000000001
Labor Strike,Automotive,2,South America,Medium,1,2,33.4,3368433.56,Alternative Supplier,1,27,61,0,66.8
Natural Disaster,Electronics,1,Europe,Large,1,1,1.0,125590.25,Alternative Supplier,1,9,29,0,1.0
Port Congestion,Pharmaceuticals,1,Asia-Pacific,Medium,1,2,44.3,3712804.11,Alternative Supplier,1,12,122,0,88.6
Natural Disaster,Aerospace,3,Asia-Pacific,Medium,1,2,32.1,5614013.52,Alternative Supplier,1,10,31,0,64.2
Cyber Attack,Automotive,2,North America,Medium,0,3,41.7,2144047.89,Alternative Supplier,6,34,115,1,125.10000000000001
Port Congestion,Electronics,2,North America,Medium,0,4,54.7,4603181.72,Production Reroute,6,53,105,1,218.8
Geopolitical,Aerospace,3,Europe,Large,1,5,63.4,7256132.13,Alternative Supplier,1,36,109,1,317.0
Natural Disaster,Automotive,4,North America,Large,0,2,18.9,1653156.43,Combined Strategy,3,34,117,0,37.8
Port Congestion,Automotive,3,Europe,Medium,1,2,35.7,3383425.92,Alternative Supplier,1,18,76,0,71.4
Port Congestion,Automotive,4,North America,Medium,1,3,21.4,425005.58,Alternative Supplier,2,16,100,0,64.19999999999999
Port Congestion,Electronics,3,South America,Medium,0,3,24.6,412341.65,Customer Delay,1,36,237,1,73.80000000000001
Port Congestion,Electronics,3,Asia-Pacific,Medium,1,2,22.6,689008.28,Alternative Supplier,1,15,95,0,45.2
Natural Disaster,Consumer Goods,1,North America,Medium,1,3,26.1,489827.57,Alternative Supplier,7,8,38,1,78.30000000000001
Factory Incident,Pharmaceuticals,1,Africa/Middle East,Small,0,4,84.5,1406813.44,Production Reroute,1,60,118,0,338.0
Natural Disaster,Pharmaceuticals,1,Asia-Pacific,Medium,1,4,72.5,4906936.74,Alternative Supplier,4,20,191,0,290.0
Cyber Attack,Electronics,3,Africa/Middle East,Large,1,4,50.0,7654383.8,Alternative Supplier,1,42,111,1,200.0
Port Congestion,Aerospace,2,Europe,Large,1,2,25.2,34529443.85,Alternative Supplier,1,44,84,0,50.4
Factory Incident,Electronics,2,Asia-Pacific,Small,1,3,33.3,841388.04,Alternative Supplier,3,20,79,1,99.89999999999999
Natural Disaster,Automotive,2,Asia-Pacific,Medium,0,2,18.3,547631.75,Customer Delay,1,90,149,0,36.6
Geopolitical,Electronics,3,South America,Large,1,2,24.0,1324104.58,Production Reroute,1,90,95,0,48.0
Geopolitical,Consumer Goods,3,Europe,Medium,0,2,16.9,502712.17,Customer Delay,7,90,136,0,33.8
Port Congestion,Pharmaceuticals,3,South America,Medium,1,1,1.0,57792.39,Alternative Supplier,1,12,36,1,1.0
Port Congestion,Pharmaceuticals,2,Europe,Medium,1,3,20.0,589450.15,Inventory Buffer,10,7,58,1,60.0
Cyber Attack,Aerospace,1,Asia-Pacific,Medium,1,2,18.7,2832059.13,Production Reroute,1,18,33,0,37.4
Labor Strike,Electronics,3,North America,Large,1,2,34.7,4029909.88,Alternative Supplier,1,28,63,0,69.4
Natural Disaster,Automotive,1,Europe,Small,0,5,81.5,857218.24,Combined Strategy,8,28,42,0,407.5
Port Congestion,Aerospace,3,Asia-Pacific,Medium,0,1,17.9,5038469.23,Inventory Buffer,6,10,21,0,17.9
Port Congestion,Electronics,1,Asia-Pacific,Medium,1,3,36.1,1702985.93,Alternative Supplier,6,7,52,0,108.30000000000001
Labor Strike,Automotive,2,Asia-Pacific,Large,1,3,34.0,2177291.36,Alternative Supplier,7,11,36,0,102.0
Port Congestion,Electronics,2,Europe,Small,0,1,21.4,375876.46,Inventory Buffer,1,8,62,0,21.4
Labor Strike,Pharmaceuticals,3,Asia-Pacific,Large,1,2,20.9,8096173.24,Alternative Supplier,3,7,36,0,41.8
Labor Strike,Pharmaceuticals,3,Asia-Pacific,Medium,0,3,35.7,3903383.34,Combined Strategy,1,79,136,0,107.10000000000001
Factory Incident,Aerospace,3,North America,Small,0,4,43.2,3422601.74,Production Reroute,11,49,226,1,172.8
Natural Disaster,Electronics,3,Africa/Middle East,Large,1,3,25.3,2011550.96,Combined Strategy,3,21,34,0,75.9
Natural Disaster,Automotive,3,Africa/Middle East,Medium,1,3,27.6,1049954.88,Alternative Supplier,1,36,107,1,82.80000000000001
Natural Disaster,Aerospace,3,Asia-Pacific,Medium,1,4,50.2,615172.25,Combined Strategy,1,176,227,1,200.8
Port Congestion,Automotive,1,Asia-Pacific,Medium,1,1,23.6,330986.4,Alternative Supplier,1,3,16,0,23.6
Geopolitical,Consumer Goods,3,North America,Medium,1,2,31.4,645272.4,Inventory Buffer,2,11,22,0,62.8
Labor Strike,Automotive,1,Asia-Pacific,Small,0,3,40.6,452023.69,Production Reroute,1,43,130,1,121.80000000000001
Cyber Attack,Consumer Goods,4,North America,Large,1,2,27.5,683192.95,Alternative Supplier,1,25,36,0,55.0
Geopolitical,Aerospace,1,Asia-Pacific,Large,1,5,67.9,26517237.48,Alternative Supplier,1,35,110,1,339.5
Factory Incident,Automotive,3,Europe,Medium,1,1,4.3,286187.07,Alternative Supplier,1,24,29,0,4.3
Port Congestion,Automotive,3,Africa/Middle East,Small,0,3,15.1,126405.78,Customer Delay,10,23,51,0,45.3
Geopolitical,Aerospace,2,Asia-Pacific,Large,1,4,45.7,12256047.2,Production Reroute,1,91,114,0,182.8
Natural Disaster,Consumer Goods,4,Asia-Pacific,Medium,0,3,32.0,438842.43,Production Reroute,1,14,90,0,96.0
Geopolitical,Automotive,1,Asia-Pacific,Medium,1,2,25.4,2068221.18,Production Reroute,1,18,50,0,50.8
Geopolitical,Automotive,1,Africa/Middle East,Small,1,5,74.8,2008867.89,Alternative Supplier,1,46,152,1,374.0
Cyber Attack,Electronics,1,Europe,Small,0,5,79.6,384368.99,Combined Strategy,5,82,341,1,398.0
Port Congestion,Consumer Goods,1,Asia-Pacific,Large,1,3,58.5,2031294.26,Alternative Supplier,4,17,104,0,175.5
Port Congestion,Automotive,1,Africa/Middle East,Large,1,2,33.7,9855754.27,Production Reroute,1,29,49,0,67.4
Cyber Attack,Consumer Goods,3,Europe,Large,1,3,31.3,6960464.4,Alternative Supplier,5,36,56,0,93.9
Port Congestion,Automotive,3,Asia-Pacific,Medium,1,2,18.1,1045763.47,Alternative Supplier,2,17,60,0,36.2
Geopolitical,Electronics,3,Europe,Small,1,3,27.8,499126.29,Alternative Supplier,2,44,58,0,83.4
Cyber Attack,Consumer Goods,2,Asia-Pacific,Medium,0,5,50.2,896476.62,Combined Strategy,8,7,320,0,251.0
Labor Strike,Automotive,2,Africa/Middle East,Large,1,3,28.9,1788866.24,Alternative Supplier,1,37,47,0,86.69999999999999
Port Congestion,Automotive,2,South America,Small,0,1,18.6,154268.56,Production Reroute,9,3,14,0,18.6
Cyber Attack,Consumer Goods,1,North America,Small,0,4,46.0,186459.11,Combined Strategy,3,50,92,0,184.0
Geopolitical,Automotive,2,North America,Small,1,3,40.0,701152.95,Alternative Supplier,3,5,82,0,120.0
Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Medium,0,3,43.2,2481003.87,Customer Delay,9,51,103,0,129.60000000000002
Geopolitical,Pharmaceuticals,1,Asia-Pacific,Small,0,1,30.1,389783.17,Alternative Supplier,1,12,18,0,30.1
Factory Incident,Electronics,1,Europe,Small,0,2,33.8,331218.61,Production Reroute,1,13,58,0,67.6
Port Congestion,Automotive,3,North America,Small,0,1,33.3,721979.2,Inventory Buffer,1,5,19,0,33.3
Cyber Attack,Electronics,3,Asia-Pacific,Small,1,2,37.5,470746.83,Alternative Supplier,1,5,16,0,75.0
Natural Disaster,Pharmaceuticals,2,North America,Small,0,3,35.6,339763.05,Production Reroute,27,24,72,0,106.80000000000001
Labor Strike,Consumer Goods,3,Europe,Small,0,1,21.0,114113.25,Customer Delay,1,61,71,0,21.0
Factory Incident,Consumer Goods,4,Europe,Medium,1,1,1.7,27634.82,Alternative Supplier,5,3,16,0,1.7
Geopolitical,Pharmaceuticals,2,Africa/Middle East,Small,1,2,30.7,1436243.24,Alternative Supplier,2,8,35,0,61.4
Natural Disaster,Automotive,2,North America,Medium,1,2,34.7,1150463.5,Alternative Supplier,2,4,21,0,69.4
Factory Incident,Automotive,4,Asia-Pacific,Medium,0,1,17.0,673464.73,Customer Delay,21,5,34,0,17.0
Cyber Attack,Consumer Goods,2,Europe,Large,0,4,53.9,3313871.77,Combined Strategy,4,9,52,1,215.6
Geopolitical,Pharmaceuticals,1,North America,Medium,1,1,21.1,1852234.56,Alternative Supplier,1,3,16,1,21.1
Labor Strike,Electronics,3,Asia-Pacific,Small,1,3,32.6,390753.1,Alternative Supplier,2,19,76,0,97.80000000000001
Port Congestion,Aerospace,3,Asia-Pacific,Medium,1,1,14.8,2526340.06,Alternative Supplier,1,10,27,0,14.8
Factory Incident,Consumer Goods,1,Africa/Middle East,Large,0,1,19.7,991885.13,Customer Delay,2,10,40,1,19.7
Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Large,0,3,38.5,6208897.6,Production Reroute,6,57,108,1,115.5
Cyber Attack,Electronics,4,Asia-Pacific,Large,0,2,38.4,1727432.37,Alternative Supplier,3,24,68,0,76.8
Geopolitical,Electronics,3,Asia-Pacific,Small,1,3,16.4,247252.48,Alternative Supplier,1,26,92,0,49.199999999999996
Labor Strike,Aerospace,1,Asia-Pacific,Medium,0,1,14.0,4288701.42,Combined Strategy,4,10,28,0,14.0
Geopolitical,Electronics,1,Asia-Pacific,Medium,1,3,33.9,1706687.73,Alternative Supplier,1,28,46,0,101.69999999999999
Geopolitical,Consumer Goods,3,North America,Large,1,2,31.5,1292711.9,Alternative Supplier,3,9,22,0,63.0
Natural Disaster,Aerospace,4,Europe,Small,0,3,43.2,1088981.25,Alternative Supplier,1,27,235,0,129.60000000000002
Port Congestion,Electronics,3,Asia-Pacific,Medium,1,1,11.4,1114683.78,Inventory Buffer,1,10,21,0,11.4
Labor Strike,Pharmaceuticals,1,Asia-Pacific,Medium,0,2,19.7,603900.22,Production Reroute,3,17,74,0,39.4
Natural Disaster,Automotive,3,Asia-Pacific,Medium,0,3,18.0,507682.49,Combined Strategy,6,56,155,1,54.0
Geopolitical,Pharmaceuticals,2,Europe,Small,1,3,51.8,817374.72,Alternative Supplier,1,33,63,0,155.39999999999998
Cyber Attack,Automotive,2,Asia-Pacific,Medium,0,3,35.3,4091400.33,Combined Strategy,4,47,108,1,105.89999999999999
Geopolitical,Pharmaceuticals,1,Asia-Pacific,Medium,0,2,23.3,2353250.36,Inventory Buffer,4,3,50,0,46.6
Natural Disaster,Automotive,2,South America,Medium,0,3,40.1,699278.01,Inventory Buffer,1,60,137,0,120.30000000000001
Labor Strike,Electronics,2,Asia-Pacific,Medium,1,2,35.2,3279037.44,Alternative Supplier,3,12,57,0,70.4
Cyber Attack,Electronics,3,North America,Medium,1,4,39.9,1597967.71,Combined Strategy,9,35,99,0,159.6
Geopolitical,Electronics,3,Asia-Pacific,Medium,0,1,10.8,249525.57,Customer Delay,1,11,62,0,10.8
Port Congestion,Consumer Goods,1,North America,Medium,1,3,59.9,735346.91,Alternative Supplier,1,12,50,0,179.7
Port Congestion,Consumer Goods,1,Asia-Pacific,Small,1,1,3.0,13194.53,Alternative Supplier,1,3,26,0,3.0
Geopolitical,Consumer Goods,1,Europe,Large,1,1,9.7,510395.92,Production Reroute,1,3,25,0,9.7
Port Congestion,Pharmaceuticals,1,Europe,Medium,1,1,14.0,653797.18,Alternative Supplier,1,5,12,0,14.0
Factory Incident,Aerospace,1,Europe,Medium,1,2,32.1,2731152.36,Alternative Supplier,1,22,44,1,64.2
Port Congestion,Pharmaceuticals,2,Asia-Pacific,Small,1,2,32.1,841361.71,Alternative Supplier,1,21,64,0,64.2
Port Congestion,Electronics,1,Asia-Pacific,Large,1,2,16.7,3742712.73,Alternative Supplier,1,8,42,0,33.4
Labor Strike,Automotive,1,North America,Medium,1,3,34.1,4347215.09,Alternative Supplier,2,25,78,1,102.30000000000001
Natural Disaster,Electronics,3,Asia-Pacific,Medium,0,3,24.3,1643073.8,Production Reroute,1,21,255,1,72.9
Port Congestion,Automotive,2,Europe,Small,1,1,20.1,958290.34,Customer Delay,1,20,42,0,20.1
Geopolitical,Electronics,3,Asia-Pacific,Medium,0,4,47.3,1103570.62,Combined Strategy,18,19,41,0,189.2
Geopolitical,Automotive,4,Asia-Pacific,Small,1,2,9.5,168138.66,Alternative Supplier,7,15,39,0,19.0
Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Medium,1,4,40.2,3454711.88,Combined Strategy,1,48,127,0,160.8
Labor Strike,Consumer Goods,2,North America,Large,1,3,26.3,3624651.0,Alternative Supplier,7,17,38,0,78.9
Port Congestion,Electronics,3,North America,Medium,0,1,7.1,90637.76,Inventory Buffer,5,10,19,1,7.1
Natural Disaster,Consumer Goods,2,South America,Large,1,2,30.6,1266362.53,Alternative Supplier,2,8,58,0,61.2
Labor Strike,Automotive,4,Asia-Pacific,Large,0,2,4.3,1422009.98,Customer Delay,10,35,85,0,8.6
Geopolitical,Consumer Goods,4,South America,Small,0,4,39.4,388510.75,Production Reroute,6,19,78,0,157.6
Port Congestion,Automotive,3,Asia-Pacific,Medium,0,2,28.0,160425.88,Customer Delay,8,28,34,0,56.0
Geopolitical,Electronics,3,South America,Large,1,3,39.0,6982961.68,Alternative Supplier,1,5,93,0,117.0
Port Congestion,Electronics,1,Europe,Large,1,2,28.8,5875666.0,Alternative Supplier,1,14,60,0,57.6
Factory Incident,Automotive,3,Asia-Pacific,Large,1,2,41.1,15442353.27,Alternative Supplier,1,16,22,0,82.2
Cyber Attack,Automotive,3,Europe,Medium,1,2,2.9,73047.0,Alternative Supplier,1,3,32,0,5.8
Natural Disaster,Pharmaceuticals,3,Europe,Small,0,2,14.5,465614.11,Inventory Buffer,4,37,45,0,29.0
Factory Incident,Automotive,2,Europe,Medium,1,3,49.8,1257710.68,Alternative Supplier,1,24,56,0,149.39999999999998
Natural Disaster,Aerospace,3,Africa/Middle East,Medium,1,3,10.0,1364560.06,Alternative Supplier,1,13,44,0,30.0
Cyber Attack,Consumer Goods,2,Europe,Medium,0,4,57.6,1050477.63,Combined Strategy,1,48,102,0,230.4
Cyber Attack,Electronics,1,Europe,Medium,1,2,26.6,1353670.84,Alternative Supplier,4,3,16,0,53.2
Geopolitical,Pharmaceuticals,1,Africa/Middle East,Medium,0,2,23.5,1250569.08,Alternative Supplier,18,12,47,0,47.0
Port Congestion,Consumer Goods,3,Asia-Pacific,Large,0,1,1.7,72386.53,Customer Delay,1,8,29,0,1.7
Port Congestion,Pharmaceuticals,3,North America,Large,1,1,19.1,7488492.52,Alternative Supplier,1,22,31,0,19.1
Labor Strike,Pharmaceuticals,1,North America,Small,0,3,46.2,261564.91,Alternative Supplier,7,5,46,1,138.60000000000002
Labor Strike,Aerospace,1,Europe,Small,0,2,9.3,403677.98,Production Reroute,3,5,41,1,18.6
Geopolitical,Consumer Goods,1,Europe,Medium,1,4,77.2,658191.42,Production Reroute,4,23,57,1,308.8
Natural Disaster,Aerospace,2,Asia-Pacific,Small,0,4,43.3,2365454.81,Combined Strategy,2,26,72,0,173.2
Cyber Attack,Consumer Goods,1,North America,Medium,1,4,64.8,417432.83,Alternative Supplier,4,11,60,0,259.2
Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Small,1,4,43.2,356727.72,Alternative Supplier,1,14,83,0,172.8
Port Congestion,Electronics,2,Africa/Middle East,Large,1,1,7.3,534439.9,Alternative Supplier,1,12,21,0,7.3
Factory Incident,Electronics,1,Africa/Middle East,Large,1,4,34.3,9525251.57,Production Reroute,1,10,70,0,137.2
Factory Incident,Consumer Goods,3,Europe,Large,0,4,53.4,3543649.77,Production Reroute,7,189,213,1,213.6
Port Congestion,Aerospace,1,Europe,Medium,0,3,44.8,2008149.86,Customer Delay,22,37,68,1,134.39999999999998
Cyber Attack,Automotive,2,Africa/Middle East,Medium,1,2,22.7,326061.69,Alternative Supplier,1,5,10,0,45.4
Cyber Attack,Consumer Goods,3,Europe,Medium,0,5,56.4,266687.45,Combined Strategy,1,38,161,1,282.0
Port Congestion,Consumer Goods,3,South America,Large,0,2,22.8,4173050.46,Production Reroute,1,39,70,1,45.6
Port Congestion,Automotive,3,Asia-Pacific,Medium,0,1,28.9,681902.03,Inventory Buffer,2,3,8,0,28.9
Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Large,1,1,3.3,1491864.38,Alternative Supplier,2,3,8,0,3.3
Geopolitical,Aerospace,1,Europe,Small,0,3,33.5,1544213.71,Customer Delay,30,25,105,1,100.5
Cyber Attack,Consumer Goods,2,Africa/Middle East,Small,1,2,36.0,43276.17,Alternative Supplier,2,22,27,0,72.0
Port Congestion,Automotive,1,Asia-Pacific,Small,1,3,43.0,309707.19,Alternative Supplier,5,16,81,0,129.0
Natural Disaster,Aerospace,2,North America,Medium,0,3,41.1,1801450.78,Production Reroute,24,3,45,1,123.30000000000001
Natural Disaster,Automotive,1,North America,Large,1,1,20.0,2979193.17,Alternative Supplier,1,38,46,0,20.0
Port Congestion,Automotive,2,Asia-Pacific,Small,1,1,30.4,179153.68,Production Reroute,2,4,32,1,30.4
Natural Disaster,Automotive,1,North America,Medium,1,2,37.4,635796.6,Alternative Supplier,2,10,85,1,74.8
Geopolitical,Electronics,1,Europe,Medium,0,3,42.9,1905395.26,Inventory Buffer,1,25,75,0,128.7
Labor Strike,Consumer Goods,2,Europe,Small,1,2,32.7,101570.93,Combined Strategy,10,3,20,0,65.4
Port Congestion,Electronics,1,Asia-Pacific,Medium,1,1,14.5,215713.35,Alternative Supplier,4,3,17,0,14.5
Port Congestion,Electronics,3,Asia-Pacific,Medium,1,1,17.1,415349.55,Alternative Supplier,1,33,41,0,17.1
Geopolitical,Automotive,3,Asia-Pacific,Medium,1,2,22.9,534671.65,Alternative Supplier,1,3,127,0,45.8
Port Congestion,Electronics,4,North America,Small,0,2,7.7,327758.36,Production Reroute,6,21,35,0,15.4
Geopolitical,Aerospace,2,Africa/Middle East,Medium,1,1,36.8,2904595.46,Alternative Supplier,1,20,37,0,36.8
Geopolitical,Pharmaceuticals,4,North America,Medium,0,4,29.6,375473.78,Combined Strategy,7,65,135,0,118.4
Port Congestion,Pharmaceuticals,4,Europe,Small,1,2,25.5,848402.31,Alternative Supplier,1,5,94,0,51.0
Port Congestion,Automotive,2,Europe,Large,0,4,55.6,11810634.99,Inventory Buffer,3,43,103,1,222.4
Port Congestion,Automotive,1,Asia-Pacific,Medium,1,1,3.3,61502.18,Alternative Supplier,3,11,22,0,3.3
Port Congestion,Consumer Goods,2,Europe,Medium,0,1,14.1,250519.79,Production Reroute,1,5,20,0,14.1
Labor Strike,Aerospace,2,Europe,Small,0,2,14.1,309344.22,Customer Delay,7,96,101,0,28.2
Natural Disaster,Automotive,1,North America,Small,0,3,54.2,1160763.18,Inventory Buffer,16,9,26,0,162.60000000000002
Factory Incident,Electronics,3,Africa/Middle East,Large,1,4,25.8,2282259.94,Combined Strategy,1,69,167,0,103.2
Geopolitical,Electronics,1,Europe,Medium,0,2,25.0,2806509.38,Production Reroute,2,21,116,0,50.0
Geopolitical,Consumer Goods,1,North America,Small,0,3,42.8,89101.92,Combined Strategy,2,60,102,0,128.39999999999998
Cyber Attack,Electronics,2,Asia-Pacific,Medium,0,2,18.7,801117.81,Customer Delay,3,27,66,0,37.4
Factory Incident,Pharmaceuticals,1,Asia-Pacific,Medium,1,2,38.7,2779405.3,Alternative Supplier,7,4,27,0,77.4
Cyber Attack,Automotive,3,North America,Medium,1,5,67.9,3498979.22,Alternative Supplier,5,35,168,0,339.5
Port Congestion,Consumer Goods,4,Asia-Pacific,Small,0,1,18.4,54319.86,Production Reroute,1,8,13,0,18.4
